0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,y
9,19,28,35,36,49,59,67,37,53,65,74,35,50,61,71,30,40,48,54,10,19,27,31,44,53,61,32,49,60,69,31,46,58,67,27,37,45,52,9,16,22,34,43,51,24,40,51,61,24,39,50,59,22,32,39,46,7,16,27,35,43,19,33,44,53,21,33,43,52,21,28,35,41,13,22,30,37,18,29,39,48,20,30,39,47,23,28,33,38,13,22,30,4,18,29,38,7,17,27,37,12,14,19,25,9,17,13,7,17,26,16,11,17,25,22,17,17,20,8,22,8,10,18,25,14,13,19,31,24,21,20,29,14,8,11,32,20,14,15,38,31,26,24,16,27,37,4,14,25,34,9,10,15,21,11,20,18,5,9,18,24,16,12,12,9,30,15,6,9,35,26,20,17,39,24,13,6,44,35,29,24,15,26,36,6,7,15,21,11,20,20,11,7,8,9,31,22,15,10,41,31,24,18,10,18,25,7,14,6,0
10,21,30,36,36,51,61,69,37,54,65,74,35,50,61,70,29,37,41,44,11,20,27,29,43,53,62,31,48,59,68,30,45,56,65,26,34,38,41,9,16,20,33,43,52,23,39,50,59,23,37,48,56,22,29,33,35,6,15,26,35,43,19,33,43,51,21,32,42,50,22,27,30,33,13,21,30,38,18,29,38,47,21,30,39,46,24,28,31,32,14,24,32,4,18,29,38,8,17,27,36,13,15,17,18,10,18,14,9,17,25,18,13,18,25,25,22,21,21,8,24,11,11,17,28,18,16,19,34,30,28,27,32,17,11,12,36,24,19,18,42,37,35,33,17,28,37,4,14,24,33,10,10,12,14,11,19,19,7,9,17,25,20,17,16,8,30,16,7,8,36,29,26,24,39,24,14,7,45,38,35,32,15,26,35,6,6,10,12,10,20,20,13,11,9,9,31,24,20,18,40,33,29,27,8,12,15,4,6,2,0
10,22,31,38,37,52,62,70,37,55,66,75,34,50,60,69,28,37,41,44,12,21,28,30,45,54,62,31,48,59,68,29,44,55,64,25,33,37,39,9,16,20,34,43,51,22,39,49,58,22,36,46,55,20,27,30,32,7,14,26,35,43,18,32,42,51,20,31,40,49,21,25,27,28,14,22,30,38,18,29,38,47,22,29,38,45,25,27,28,28,14,24,32,4,19,29,38,9,16,26,35,15,13,14,14,9,17,15,8,16,24,20,12,16,23,27,21,18,16,8,24,10,9,16,29,17,15,18,36,29,25,22,32,16,9,11,37,24,18,17,44,36,32,29,17,28,37,5,13,24,33,12,8,9,9,10,19,21,7,8,16,27,19,16,13,9,31,16,8,8,38,29,25,22,40,25,16,9,47,38,34,31,15,26,35,7,5,8,10,10,19,21,13,9,6,9,32,23,19,16,41,32,28,25,9,13,15,4,6,2,0
10,22,32,39,37,52,62,70,38,56,67,75,35,52,63,72,30,41,49,57,12,22,29,30,45,54,62,32,49,60,69,30,47,58,67,27,38,46,54,10,17,20,34,44,52,23,40,51,59,24,39,49,58,23,33,41,48,7,14,25,34,42,18,32,42,51,21,33,42,51,24,31,37,43,13,21,29,36,18,29,38,46,22,31,39,47,27,32,37,42,15,24,32,5,19,30,39,9,19,29,38,16,18,23,29,9,17,15,9,17,25,20,14,19,26,27,23,24,26,8,24,10,11,17,29,18,16,20,36,30,28,27,32,16,10,12,36,23,18,18,44,36,33,31,17,28,37,5,15,26,35,12,13,18,24,10,19,20,7,10,18,27,20,17,17,8,31,15,8,9,38,29,24,21,40,24,14,8,47,37,31,27,16,27,37,7,9,16,23,10,20,22,13,10,11,9,33,23,17,13,43,32,25,20,11,19,27,8,15,7,0
10,22,33,41,38,54,64,73,38,57,69,78,35,52,64,73,29,41,49,56,12,23,31,30,46,57,65,32,51,62,71,30,47,59,68,26,39,47,54,10,18,20,35,45,54,23,41,52,61,23,39,50,59,23,33,41,47,7,14,26,36,44,19,34,44,53,21,33,44,52,25,32,38,44,14,21,30,38,19,30,39,47,24,32,40,48,29,33,38,43,16,26,34,5,20,32,41,10,19,30,39,16,19,24,29,10,18,16,9,17,26,21,15,19,26,29,25,25,26,8,26,11,11,17,31,20,17,21,39,32,30,29,35,18,11,12,39,26,20,19,47,39,36,33,19,30,39,5,15,27,36,13,14,19,25,11,20,22,8,10,18,29,21,18,18,9,33,18,9,10,40,31,26,23,43,26,16,10,49,40,34,29,17,29,38,7,10,17,24,11,21,23,13,10,11,9,35,24,18,13,44,33,26,21,12,20,27,8,15,7,0
10,23,33,42,39,55,65,74,39,58,70,79,36,54,66,76,30,43,52,60,12,24,32,32,47,58,66,33,52,64,73,32,49,61,71,28,41,50,58,11,19,21,36,46,55,24,42,53,62,25,41,52,61,24,35,43,51,8,14,26,36,45,19,34,44,53,22,34,45,53,25,33,40,47,14,21,30,38,20,30,39,48,24,32,41,49,29,34,40,46,15,26,35,5,21,32,41,10,20,30,40,16,19,25,32,10,19,16,9,18,26,21,15,20,27,29,25,26,28,8,26,11,11,17,31,19,17,21,39,32,30,30,35,17,10,11,39,25,19,19,47,39,36,34,19,30,39,5,16,27,37,13,14,20,27,11,20,22,8,10,19,29,21,19,20,9,33,17,9,10,41,31,26,24,43,26,15,9,50,40,34,30,17,29,39,7,11,18,26,11,21,24,14,11,14,9,35,24,18,15,45,34,27,21,12,21,29,8,17,8,0
11,24,34,42,38,55,66,75,38,58,70,81,35,53,66,77,29,41,49,57,13,24,31,30,47,58,66,32,51,63,74,30,48,60,71,26,38,46,54,11,18,19,35,46,54,22,41,52,62,23,39,51,61,23,33,40,47,7,14,26,36,45,19,33,44,54,22,34,44,54,25,32,38,44,15,23,31,39,20,31,41,50,25,33,42,51,30,35,39,44,17,27,36,5,21,33,43,10,20,31,41,17,19,24,30,10,19,18,9,17,27,23,15,20,28,31,26,26,27,8,28,12,11,18,33,20,18,22,41,34,32,31,36,19,11,13,41,27,21,20,49,42,38,36,19,32,42,6,16,28,39,13,14,19,25,12,22,23,8,11,20,31,22,20,19,10,35,18,9,11,43,33,28,25,45,28,17,10,53,43,37,32,18,30,41,7,10,17,24,12,23,24,14,11,12,10,37,26,20,15,47,36,29,24,12,20,27,7,15,7,0
11,23,33,41,39,55,66,75,39,58,70,80,36,54,65,76,29,41,49,57,12,23,31,31,47,58,67,32,51,63,73,30,48,60,70,26,38,46,54,10,18,20,36,46,56,23,41,53,63,24,40,51,61,23,33,41,48,7,14,27,37,46,18,33,44,54,22,34,44,54,25,32,38,44,15,23,32,40,20,31,40,50,25,33,42,51,30,35,40,45,16,27,36,5,21,32,42,11,20,30,40,18,20,25,31,10,19,17,9,17,27,23,16,20,28,31,27,27,29,9,27,11,10,18,33,20,18,22,41,35,33,32,36,19,11,12,42,27,22,21,50,43,40,37,19,31,41,6,16,27,38,14,14,19,26,11,22,23,8,11,20,31,24,21,21,10,35,18,10,11,42,34,29,26,45,28,17,11,52,43,38,33,18,29,40,8,10,17,24,11,22,25,16,12,13,10,36,26,20,15,47,36,29,23,11,20,28,8,16,8,0
11,25,36,44,40,57,68,78,40,60,72,83,37,55,66,75,31,44,52,59,14,26,34,32,49,60,69,33,53,65,75,32,49,60,69,28,40,48,55,12,19,19,35,46,55,23,41,53,63,23,39,49,58,23,33,41,47,7,12,25,35,44,17,31,43,52,21,32,41,49,25,31,37,42,14,20,29,38,19,28,38,47,24,31,39,46,30,33,38,42,17,28,37,5,21,33,43,10,20,30,38,17,19,24,30,11,20,17,9,18,27,23,16,19,26,31,26,26,27,9,28,12,11,18,33,21,19,21,41,35,32,31,37,20,11,12,42,29,23,21,50,43,39,36,19,31,42,6,16,26,35,13,14,19,25,12,22,23,9,10,17,30,22,19,19,10,35,19,11,10,42,33,28,25,46,29,19,12,53,43,37,32,17,28,38,7,10,17,23,11,20,24,14,10,11,9,35,24,17,13,44,33,26,20,12,20,27,8,15,7,0
12,27,39,46,43,59,69,78,42,61,72,82,39,56,67,77,33,45,53,61,16,27,34,34,50,60,68,35,53,64,74,33,50,60,70,29,41,49,57,11,18,20,36,45,53,23,40,50,60,24,38,48,57,24,33,41,48,6,13,25,34,42,18,31,41,50,22,32,40,48,27,32,37,43,15,22,30,37,20,29,38,46,26,32,38,46,32,35,39,43,16,26,35,5,19,30,40,11,18,27,36,19,20,24,29,9,18,18,8,15,24,24,15,17,23,33,27,26,27,8,28,12,10,16,33,21,17,19,42,35,32,30,36,19,12,12,41,27,21,19,50,42,38,35,18,30,39,6,15,25,34,15,14,19,25,11,21,23,8,9,17,31,23,19,19,9,34,18,9,9,42,33,27,23,44,27,17,10,52,42,35,30,17,28,37,8,10,17,24,10,20,24,15,11,12,9,35,25,18,14,45,34,26,20,12,20,28,8,16,7,0
